Year,Date,HomeTeam,HomeBonus,AwayTeam,AwayBonus,HomeScore,AwayScore,Stadium
2000,2000-02-05,Italy,0,Scotland,0,34,20,Stadio Flaminio
2000,2000-02-05,England,0,Ireland,0,50,18,Twickenham Stadium
2000,2000-02-05,Wales,0,France,0,3,36,Millennium Stadium
2000,2000-02-19,Wales,0,Italy,0,47,16,Millennium Stadium
2000,2000-02-19,France,0,England,0,9,15,Stade de France
2000,2000-02-19,Ireland,0,Scotland,0,44,22,Lansdowne Road
2000,2000-03-04,Scotland,0,France,0,16,28,Murrayfield Stadium
2000,2000-03-04,England,0,Wales,0,46,12,Twickenham Stadium
2000,2000-03-04,Ireland,0,Italy,0,60,13,Lansdowne Road
2000,2000-03-18,Italy,0,England,0,12,59,Stadio Flaminio
2000,2000-03-18,Wales,0,Scotland,0,26,18,Millennium Stadium
2000,2000-03-19,France,0,Ireland,0,25,27,Stade de France
2000,2000-04-01,France,0,Italy,0,42,31,Stade de France
2000,2000-04-01,Ireland,0,Wales,0,19,23,Lansdowne Road
2000,2000-04-02,Scotland,0,England,0,19,13,Murrayfield Stadium
2001,2001-02-03,Italy,0,Ireland,0,22,41,Stadio Flaminio
2001,2001-02-03,Wales,0,England,0,15,44,Millennium Stadium
2001,2001-02-04,France,0,Scotland,0,16,6,Stade de France
2001,2001-02-17,Ireland,0,France,0,22,15,Lansdowne Road
2001,2001-02-17,England,0,Italy,0,80,23,Twickenham Stadium
2001,2001-02-17,Scotland,0,Wales,0,28,28,Murrayfield Stadium
2001,2001-03-03,Italy,0,France,0,19,30,Stadio Flaminio
2001,2001-03-03,England,0,Scotland,0,43,3,Twickenham Stadium
2001,2001-03-17,France,0,Wales,0,35,43,Stade de France
2001,2001-03-17,Scotland,0,Italy,0,23,19,Murrayfield Stadium
2001,2001-04-07,England,0,France,0,48,19,Twickenham Stadium
2001,2001-04-08,Italy,0,Wales,0,23,33,Stadio Flaminio
2001,2001-09-22,Scotland,0,Ireland,0,32,10,Murrayfield Stadium
2001,2001-10-13,Wales,0,Ireland,0,6,36,Millennium Stadium
2001,2001-10-20,Ireland,0,England,0,20,14,Lansdowne Road
2002,2002-02-02,France,0,Italy,0,33,12,Stade de France
2002,2002-02-02,Scotland,0,England,0,3,29,Murrayfield Stadium
2002,2002-02-03,Ireland,0,Wales,0,54,10,Lansdowne Road
2002,2002-02-16,Wales,0,France,0,33,37,Millennium Stadium
2002,2002-02-16,England,0,Ireland,0,45,11,Twickenham Stadium
2002,2002-02-16,Italy,0,Scotland,0,12,29,Stadio Flaminio
2002,2002-03-02,France,0,England,0,20,15,Stade de France
2002,2002-03-02,Wales,0,Italy,0,44,20,Millennium Stadium
2002,2002-03-02,Ireland,0,Scotland,0,43,22,Lansdowne Road
2002,2002-03-23,Ireland,0,Italy,0,32,17,Lansdowne Road
2002,2002-03-23,England,0,Wales,0,50,10,Twickenham Stadium
2002,2002-03-23,Scotland,0,France,0,10,22,Murrayfield Stadium
2002,2002-04-06,France,0,Ireland,0,44,5,Stade de France
2002,2002-04-06,Wales,0,Scotland,0,22,27,Millennium Stadium
2002,2002-04-07,Italy,0,England,0,9,45,Stadio Flaminio
2003,2003-02-15,Italy,0,Wales,0,30,22,Stadio Flaminio
2003,2003-02-15,England,0,France,0,25,17,Twickenham Stadium
2003,2003-02-16,Scotland,0,Ireland,0,6,36,Murrayfield Stadium
2003,2003-02-22,Italy,0,Ireland,0,13,37,Stadio Flaminio
2003,2003-02-22,Wales,0,England,0,9,26,Millennium Stadium
2003,2003-02-23,France,0,Scotland,0,38,3,Stade de France
2003,2003-03-08,Ireland,0,France,0,15,12,Lansdowne Road
2003,2003-03-08,Scotland,0,Wales,0,30,22,Murrayfield Stadium
2003,2003-03-09,England,0,Italy,0,40,5,Twickenham Stadium
2003,2003-03-22,Wales,0,Ireland,0,24,25,Millennium Stadium
2003,2003-03-22,England,0,Scotland,0,40,9,Twickenham Stadium
2003,2003-03-23,Italy,0,France,0,27,53,Stadio Flaminio
2003,2003-03-29,France,0,Wales,0,33,5,Stade de France
2003,2003-03-29,Scotland,0,Italy,0,33,25,Murrayfield Stadium
2003,2003-03-30,Ireland,0,England,0,6,42,Lansdowne Road
2004,2004-02-14,France,0,Ireland,0,35,17,Stade de France
2004,2004-02-14,Wales,0,Scotland,0,23,10,Millennium Stadium
2004,2004-02-15,Italy,0,England,0,9,50,Stadio Flaminio
2004,2004-02-21,France,0,Italy,0,25,0,Stade de France
2004,2004-02-21,Scotland,0,England,0,13,35,Murrayfield Stadium
2004,2004-02-22,Ireland,0,Wales,0,36,15,Lansdowne Road
2004,2004-03-06,Italy,0,Scotland,0,20,14,Stadio Flaminio
2004,2004-03-06,England,0,Ireland,0,13,19,Twickenham Stadium
2004,2004-03-07,Wales,0,France,0,22,29,Millennium Stadium
2004,2004-03-20,Ireland,0,Italy,0,19,3,Lansdowne Road
2004,2004-03-20,England,0,Wales,0,31,21,Twickenham Stadium
2004,2004-03-21,Scotland,0,France,0,0,31,Murrayfield Stadium
2004,2004-03-27,Wales,0,Italy,0,44,10,Millennium Stadium
2004,2004-03-27,Ireland,0,Scotland,0,37,16,Lansdowne Road
2004,2004-03-27,France,0,England,0,24,21,Stade de France
2005,2005-02-05,France,0,Scotland,0,16,9,Stade de France
2005,2005-02-05,Wales,0,England,0,11,9,Millennium Stadium
2005,2005-02-06,Italy,0,Ireland,0,17,28,Stadio Flaminio
2005,2005-02-12,Italy,0,Wales,0,8,38,Stadio Flaminio
2005,2005-02-12,Scotland,0,Ireland,0,13,40,Murrayfield Stadium
2005,2005-02-13,England,0,France,0,17,18,Twickenham Stadium
2005,2005-02-26,Scotland,0,Italy,0,18,10,Murrayfield Stadium
2005,2005-02-26,France,0,Wales,0,18,24,Stade de France
2005,2005-02-27,Ireland,0,England,0,19,13,Lansdowne Road
2005,2005-03-12,Ireland,0,France,0,19,26,Lansdowne Road
2005,2005-03-12,England,0,Italy,0,39,7,Twickenham Stadium
2005,2005-03-13,Scotland,0,Wales,0,22,46,Murrayfield Stadium
2005,2005-03-19,Italy,0,France,0,13,56,Stadio Flaminio
2005,2005-03-19,Wales,0,Ireland,0,32,20,Millennium Stadium
2005,2005-03-19,England,0,Scotland,0,43,22,Twickenham Stadium
2006,2006-02-04,Ireland,0,Italy,0,26,16,Lansdowne Road
2006,2006-02-04,England,0,Wales,0,47,13,Twickenham Stadium
2006,2006-02-05,Scotland,0,France,0,20,16,Murrayfield Stadium
2006,2006-02-11,France,0,Ireland,0,43,31,Stade de France
2006,2006-02-11,Italy,0,England,0,16,31,Stadio Flaminio
2006,2006-02-12,Wales,0,Scotland,0,28,18,Millennium Stadium
2006,2006-02-25,France,0,Italy,0,37,12,Stade de France
2006,2006-02-25,Scotland,0,England,0,18,12,Murrayfield Stadium
2006,2006-02-26,Ireland,0,Wales,0,31,5,Lansdowne Road
2006,2006-03-11,Wales,0,Italy,0,18,18,Millennium Stadium
2006,2006-03-11,Ireland,0,Scotland,0,15,9,Lansdowne Road
2006,2006-03-12,France,0,England,0,31,6,Stade de France
2006,2006-03-18,Italy,0,Scotland,0,10,13,Stadio Flaminio
2006,2006-03-18,Wales,0,France,0,16,21,Millennium Stadium
2006,2006-03-18,England,0,Ireland,0,24,28,Twickenham Stadium
2007,2007-02-03,Italy,0,France,0,3,39,Stadio Flaminio
2007,2007-02-03,England,0,Scotland,0,42,20,Twickenham Stadium
2007,2007-02-04,Wales,0,Ireland,0,9,19,Millennium Stadium
2007,2007-02-10,England,0,Italy,0,20,7,Twickenham Stadium
2007,2007-02-10,Scotland,0,Wales,0,21,9,Murrayfield Stadium
2007,2007-02-11,Ireland,0,France,0,17,20,Croke Park
2007,2007-02-24,Scotland,0,Italy,0,17,37,Murrayfield Stadium
2007,2007-02-24,Ireland,0,England,0,43,13,Croke Park
2007,2007-02-24,France,0,Wales,0,32,21,Stade de France
2007,2007-03-10,Scotland,0,Ireland,0,18,19,Murrayfield Stadium
2007,2007-03-10,Italy,0,Wales,0,23,20,Stadio Flaminio
2007,2007-03-11,England,0,France,0,26,18,Twickenham Stadium
2007,2007-03-17,Italy,0,Ireland,0,24,51,Stadio Flaminio
2007,2007-03-17,France,0,Scotland,0,46,19,Stade de France
2007,2007-03-17,Wales,0,England,0,27,18,Millennium Stadium
2008,2008-02-02,Ireland,0,Italy,0,16,11,Croke Park
2008,2008-02-02,England,0,Wales,0,19,26,Twickenham Stadium
2008,2008-02-03,Scotland,0,France,0,6,27,Murrayfield Stadium
2008,2008-02-09,Wales,0,Scotland,0,30,15,Millennium Stadium
2008,2008-02-09,France,0,Ireland,0,26,21,Stade de France
2008,2008-02-10,Italy,0,England,0,19,23,Stadio Flaminio
2008,2008-02-23,Wales,0,Italy,0,47,8,Millennium Stadium
2008,2008-02-23,Ireland,0,Scotland,0,34,13,Croke Park
2008,2008-02-23,France,0,England,0,13,24,Stade de France
2008,2008-03-08,Ireland,0,Wales,0,12,16,Croke Park
2008,2008-03-08,Scotland,0,England,0,15,9,Murrayfield Stadium
2008,2008-03-09,France,0,Italy,0,25,13,Stade de France
2008,2008-03-15,Italy,0,Scotland,0,23,20,Stadio Flaminio
2008,2008-03-15,England,0,Ireland,0,33,10,Twickenham Stadium
2008,2008-03-15,Wales,0,France,0,29,12,Millennium Stadium
2009,2009-02-07,England,0,Italy,0,36,11,Twickenham Stadium
2009,2009-02-07,Ireland,0,France,0,30,21,Croke Park
2009,2009-02-08,Scotland,0,Wales,0,13,26,Murrayfield Stadium
2009,2009-02-14,France,0,Scotland,0,22,13,Stade de France
2009,2009-02-14,Wales,0,England,0,23,15,Millennium Stadium
2009,2009-02-15,Italy,0,Ireland,0,9,38,Stadio Flaminio
2009,2009-02-27,France,0,Wales,0,21,16,Stade de France
2009,2009-02-28,Scotland,0,Italy,0,26,6,Murrayfield Stadium
2009,2009-02-28,Ireland,0,England,0,14,13,Croke Park
2009,2009-03-14,Italy,0,Wales,0,15,20,Stadio Flaminio
2009,2009-03-14,Scotland,0,Ireland,0,15,22,Murrayfield Stadium
2009,2009-03-15,England,0,France,0,34,10,Twickenham Stadium
2009,2009-03-21,Italy,0,France,0,8,50,Stadio Flaminio
2009,2009-03-21,England,0,Scotland,0,26,12,Twickenham Stadium
2009,2009-03-21,Wales,0,Ireland,0,15,17,Millennium Stadium
2010,2010-02-06,Ireland,0,Italy,0,29,11,Croke Park
2010,2010-02-06,England,0,Wales,0,30,17,Twickenham Stadium
2010,2010-02-07,Scotland,0,France,0,9,18,Murrayfield Stadium
2010,2010-02-13,Wales,0,Scotland,0,31,24,Millennium Stadium
2010,2010-02-13,France,0,Ireland,0,33,10,Stade de France
2010,2010-02-14,Italy,0,England,0,12,17,Stadio Flaminio
2010,2010-02-26,Wales,0,France,0,20,26,Millennium Stadium
2010,2010-02-27,Italy,0,Scotland,0,16,12,Stadio Flaminio
2010,2010-02-27,England,0,Ireland,0,16,20,Twickenham Stadium
2010,2010-03-13,Ireland,0,Wales,0,27,12,Croke Park
2010,2010-03-13,Scotland,0,England,0,15,15,Murrayfield Stadium
2010,2010-03-14,France,0,Italy,0,46,20,Stade de France
2010,2010-03-20,Wales,0,Italy,0,33,10,Millennium Stadium
2010,2010-03-20,Ireland,0,Scotland,0,20,23,Croke Park
2010,2010-03-20,France,0,England,0,12,10,Stade de France
2011,2011-02-04,Wales,0,England,0,19,26,Millennium Stadium
2011,2011-02-05,Italy,0,Ireland,0,11,13,Stadio Flaminio
2011,2011-02-05,France,0,Scotland,0,34,21,Stade de France
2011,2011-02-12,England,0,Italy,0,59,13,Twickenham Stadium
2011,2011-02-12,Scotland,0,Wales,0,6,24,Murrayfield Stadium
2011,2011-02-13,Ireland,0,France,0,22,25,Aviva Stadium
2011,2011-02-26,Italy,0,Wales,0,16,24,Stadio Flaminio
2011,2011-02-26,England,0,France,0,17,9,Twickenham Stadium
2011,2011-02-27,Scotland,0,Ireland,0,18,21,Murrayfield Stadium
2011,2011-03-12,Italy,0,France,0,22,21,Stadio Flaminio
2011,2011-03-12,Wales,0,Ireland,0,19,13,Millennium Stadium
2011,2011-03-13,England,0,Scotland,0,22,16,Twickenham Stadium
2011,2011-03-19,Scotland,0,Italy,0,21,8,Murrayfield Stadium
2011,2011-03-19,Ireland,0,England,0,24,8,Aviva Stadium
2011,2011-03-19,France,0,Wales,0,28,9,Stade de France
2012,2012-02-04,France,0,Italy,0,30,12,Stade de France
2012,2012-02-04,Scotland,0,England,0,6,13,Murrayfield Stadium
2012,2012-02-05,Ireland,0,Wales,0,21,23,Aviva Stadium
2012,2012-02-11,Italy,0,England,0,15,19,Stadio Olimpico
2012,2012-02-12,Wales,0,Scotland,0,27,13,Millennium Stadium
2012,2012-02-25,Ireland,0,Italy,0,42,10,Aviva Stadium
2012,2012-02-25,England,0,Wales,0,12,19,Twickenham Stadium
2012,2012-02-26,Scotland,0,France,0,17,23,Murrayfield Stadium
2012,2012-03-04,France,0,Ireland,0,17,17,Stade de France
2012,2012-03-10,Wales,0,Italy,0,24,3,Millennium Stadium
2012,2012-03-10,Ireland,0,Scotland,0,32,14,Aviva Stadium
2012,2012-03-11,France,0,England,0,22,24,Stade de France
2012,2012-03-17,Italy,0,Scotland,0,13,6,Stadio Olimpico
2012,2012-03-17,Wales,0,France,0,16,9,Millennium Stadium
2012,2012-03-17,England,0,Ireland,0,30,9,Twickenham Stadium
2013,2013-02-02,Wales,0,Ireland,0,22,30,Millennium Stadium
2013,2013-02-02,England,0,Scotland,0,38,18,Twickenham Stadium
2013,2013-02-03,Italy,0,France,0,23,18,Stadio Olimpico
2013,2013-02-09,Scotland,0,Italy,0,34,10,Murrayfield Stadium
2013,2013-02-09,France,0,Wales,0,6,16,Stade de France
2013,2013-02-10,Ireland,0,England,0,6,12,Aviva Stadium
2013,2013-02-23,Italy,0,Wales,0,9,26,Stadio Olimpico
2013,2013-02-23,England,0,France,0,23,13,Twickenham Stadium
2013,2013-02-24,Scotland,0,Ireland,0,12,8,Murrayfield Stadium
2013,2013-03-09,Scotland,0,Wales,0,18,28,Murrayfield Stadium
2013,2013-03-09,Ireland,0,France,0,13,13,Aviva Stadium
2013,2013-03-10,England,0,Italy,0,18,11,Twickenham Stadium
2013,2013-03-16,Italy,0,Ireland,0,22,15,Stadio Olimpico
2013,2013-03-16,Wales,0,England,0,30,3,Millennium Stadium
2013,2013-03-16,France,0,Scotland,0,23,16,Stade de France
2014,2014-02-01,Wales,0,Italy,0,23,15,Millennium Stadium
2014,2014-02-01,France,0,England,0,26,24,Stade de France
2014,2014-02-02,Ireland,0,Scotland,0,28,6,Aviva Stadium
2014,2014-02-08,Ireland,0,Wales,0,26,3,Aviva Stadium
2014,2014-02-08,Scotland,0,England,0,0,20,Murrayfield Stadium
2014,2014-02-09,France,0,Italy,0,30,10,Stade de France
2014,2014-02-21,Wales,0,France,0,27,6,Millennium Stadium
2014,2014-02-22,Italy,0,Scotland,0,20,21,Stadio Olimpico
2014,2014-02-22,England,0,Ireland,0,13,10,Twickenham Stadium
2014,2014-03-08,Ireland,0,Italy,0,46,7,Aviva Stadium
2014,2014-03-08,Scotland,0,France,0,17,19,Murrayfield Stadium
2014,2014-03-09,England,0,Wales,0,29,18,Twickenham Stadium
2014,2014-03-15,Italy,0,England,0,11,52,Stadio Olimpico
2014,2014-03-15,Wales,0,Scotland,0,51,3,Millennium Stadium
2014,2014-03-15,France,0,Ireland,0,20,22,Stade de France
2015,2015-02-06,Wales,0,England,0,16,21,Millennium Stadium
2015,2015-02-07,Italy,0,Ireland,0,3,26,Stadio Olimpico
2015,2015-02-07,France,0,Scotland,0,15,8,Stade de France
2015,2015-02-14,England,0,Italy,0,47,17,Twickenham Stadium
2015,2015-02-14,Ireland,0,France,0,18,11,Aviva Stadium
2015,2015-02-15,Scotland,0,Wales,0,23,26,Murrayfield Stadium
2015,2015-02-28,Scotland,0,Italy,0,19,22,Murrayfield Stadium
2015,2015-02-28,France,0,Wales,0,13,20,Stade de France
2015,2015-03-01,Ireland,0,England,0,19,9,Aviva Stadium
2015,2015-03-14,Wales,0,Ireland,0,23,16,Millennium Stadium
2015,2015-03-14,England,0,Scotland,0,25,13,Twickenham Stadium
2015,2015-03-15,Italy,0,France,0,0,29,Stadio Olimpico
2015,2015-03-21,Italy,0,Wales,0,20,61,Stadio Olimpico
2015,2015-03-21,Scotland,0,Ireland,0,10,40,Murrayfield Stadium
2015,2015-03-21,England,0,France,0,55,35,Twickenham Stadium
2016,2016-02-06,France,0,Italy,0,23,21,Stade de France
2016,2016-02-06,Scotland,0,England,0,9,15,Murrayfield Stadium
2016,2016-02-07,Ireland,0,Wales,0,16,16,Aviva Stadium
2016,2016-02-13,France,0,Ireland,0,10,9,Stade de France
2016,2016-02-13,Wales,0,Scotland,0,27,23,Millennium Stadium
2016,2016-02-14,Italy,0,England,0,9,40,Stadio Olimpico
2016,2016-02-26,Wales,0,France,0,19,10,Millennium Stadium
2016,2016-02-27,Italy,0,Scotland,0,20,36,Stadio Olimpico
2016,2016-02-27,England,0,Ireland,0,21,10,Twickenham Stadium
2016,2016-03-12,Ireland,0,Italy,0,58,15,Aviva Stadium
2016,2016-03-12,England,0,Wales,0,25,21,Twickenham Stadium
2016,2016-03-13,Scotland,0,France,0,29,18,Murrayfield Stadium
2016,2016-03-19,Wales,0,Italy,0,67,14,Millennium Stadium
2016,2016-03-19,Ireland,0,Scotland,0,35,25,Aviva Stadium
2016,2016-03-19,France,0,England,0,21,31,Stade de France
2017,2017-02-04,Scotland,0,Ireland,1,27,22,Murrayfield Stadium
2017,2017-02-04,England,0,France,1,19,16,Twickenham Stadium
2017,2017-02-05,Italy,0,Wales,0,7,33,Stadio Olimpico
2017,2017-02-11,Italy,0,Ireland,1,10,63,Stadio Olimpico
2017,2017-02-11,Wales,1,England,0,16,21,Millennium Stadium
2017,2017-02-12,France,0,Scotland,1,22,16,Stade de France
2017,2017-02-25,Scotland,0,Wales,0,29,13,Murrayfield Stadium
2017,2017-02-25,Ireland,0,France,0,19,9,Aviva Stadium
2017,2017-02-26,England,1,Italy,0,36,15,Twickenham Stadium
2017,2017-03-10,Wales,0,Ireland,0,22,9,Millennium Stadium
2017,2017-03-11,Italy,0,France,1,18,40,Stadio Olimpico
2017,2017-03-11,England,1,Scotland,0,61,21,Twickenham Stadium
2017,2017-03-18,Scotland,1,Italy,0,29,0,Murrayfield Stadium
2017,2017-03-18,France,0,Wales,1,20,18,Stade de France
2017,2017-03-18,Ireland,0,England,1,13,9,Aviva Stadium
2018,2018-02-03,Wales,1,Scotland,0,34,7,Millennium Stadium
2018,2018-02-03,France,1,Ireland,0,13,15,Stade de France
2018,2018-02-04,Italy,0,England,1,15,46,Stadio Olimpico
2018,2018-02-10,Ireland,1,Italy,0,56,19,Aviva Stadium
2018,2018-02-10,England,0,Wales,1,12,6,Twickenham Stadium
2018,2018-02-11,Scotland,0,France,1,32,26,Murrayfield Stadium
2018,2018-02-23,France,0,Italy,0,34,17,Stade Vélodrome
2018,2018-02-24,Ireland,1,Wales,0,37,27,Aviva Stadium
2018,2018-02-24,Scotland,0,England,0,25,13,Murrayfield Stadium
2018,2018-03-10,Ireland,1,Scotland,0,28,8,Aviva Stadium
2018,2018-03-10,France,0,England,1,22,16,Stade de France
2018,2018-03-11,Wales,1,Italy,0,38,14,Millennium Stadium
2018,2018-03-17,Italy,1,Scotland,1,27,29,Stadio Olimpico
2018,2018-03-17,England,0,Ireland,3,15,24,Twickenham Stadium
2018,2018-03-17,Wales,0,France,1,14,13,Millennium Stadium
2019,2019-02-01,France,1,Wales,0,19,24,Stade de France
2019,2019-02-02,Scotland,1,Italy,0,33,20,Murrayfield Stadium
2019,2019-02-02,Ireland,0,England,1,20,32,Aviva Stadium
2019,2019-02-09,Scotland,0,Ireland,0,13,22,Murrayfield Stadium
2019,2019-02-09,Italy,0,Wales,0,15,26,Stadio Olimpico
2019,2019-02-10,England,1,France,0,44,8,Twickenham Stadium
2019,2019-02-23,France,1,Scotland,0,27,10,Stade de France
2019,2019-02-23,Wales,0,England,0,21,13,Millennium Stadium
2019,2019-02-24,Italy,0,Ireland,1,16,26,Stadio Olimpico
2019,2019-03-09,Scotland,1,Wales,0,11,18,Murrayfield Stadium
2019,2019-03-09,England,1,Italy,0,57,14,Twickenham Stadium
2019,2019-03-10,Ireland,1,France,0,26,14,Aviva Stadium
2019,2019-03-16,Italy,0,France,0,14,25,Stadio Olimpico
2019,2019-03-16,Wales,0,Ireland,0,25,7,Millennium Stadium
2019,2019-03-16,England,1,Scotland,1,38,38,Twickenham Stadium
2020,2020-02-01,Wales,1,Italy,0,42,0,Millennium Stadium
2020,2020-02-01,Ireland,0,Scotland,1,19,12,Aviva Stadium
2020,2020-02-02,France,0,England,1,24,17,Stade de France
2020,2020-02-08,Ireland,1,Wales,0,24,14,Aviva Stadium
2020,2020-02-08,Scotland,1,England,0,6,13,Murrayfield Stadium
2020,2020-02-09,France,1,Italy,0,35,22,Stade de France
2020,2020-02-22,Italy,0,Scotland,0,0,17,Stadio Olimpico
2020,2020-02-22,Wales,1,France,0,23,27,Millennium Stadium
2020,2020-02-23,England,0,Ireland,0,24,12,Twickenham Stadium
2020,2020-03-07,England,0,Wales,1,33,30,Twickenham Stadium
2020,2020-03-08,Scotland,0,France,0,28,17,Murrayfield Stadium
2020,2020-10-24,Ireland,1,Italy,0,50,17,Aviva Stadium
2020,2020-10-31,Wales,1,Scotland,0,10,14,Parc y Scarlets
2020,2020-10-31,Italy,0,England,1,5,34,Stadio Olimpico
2020,2020-10-31,France,1,Ireland,0,35,27,Stade de France
2021,2021-02-06,Italy,0,France,1,10,50,Stadio Olimpico
2021,2021-02-06,England,1,Scotland,0,6,11,Twickenham Stadium
2021,2021-02-07,Wales,0,Ireland,1,21,16,Millennium Stadium
2021,2021-02-13,England,1,Italy,0,41,18,Twickenham Stadium
2021,2021-02-13,Scotland,1,Wales,1,24,25,Murrayfield Stadium
2021,2021-02-14,Ireland,1,France,0,13,15,Aviva Stadium
2021,2021-02-27,Italy,0,Ireland,1,10,48,Stadio Olimpico
2021,2021-02-27,Wales,1,England,0,40,24,Millennium Stadium
2021,2021-03-13,Italy,0,Wales,1,7,48,Stadio Olimpico
2021,2021-03-13,England,0,France,1,23,20,Twickenham Stadium
2021,2021-03-14,Scotland,1,Ireland,0,24,27,Murrayfield Stadium
2021,2021-03-20,Scotland,1,Italy,0,52,10,Murrayfield Stadium
2021,2021-03-20,Ireland,0,England,0,32,18,Aviva Stadium
2021,2021-03-20,France,1,Wales,1,32,30,Stade de France
2021,2021-03-26,France,1,Scotland,0,23,27,Stade de France
2022,2022-02-05,Ireland,1,Wales,0,29,7,Aviva Stadium
2022,2022-02-05,Scotland,0,England,1,20,17,Murrayfield Stadium
2022,2022-02-06,France,1,Italy,0,37,10,Stade de France
2022,2022-02-12,Wales,0,Scotland,1,20,17,Millennium Stadium
2022,2022-02-12,France,0,Ireland,1,30,24,Stade de France
2022,2022-02-13,Italy,0,England,1,0,33,Stadio Olimpico
2022,2022-02-26,Scotland,0,France,1,17,36,Murrayfield Stadium
2022,2022-02-26,England,0,Wales,1,23,19,Twickenham Stadium
2022,2022-02-27,Ireland,1,Italy,0,57,6,Aviva Stadium
2022,2022-03-11,Wales,1,France,0,9,13,Millennium Stadium
2022,2022-03-12,Italy,0,Scotland,1,22,33,Stadio Olimpico
2022,2022-03-12,England,0,Ireland,1,15,32,Twickenham Stadium
2022,2022-03-19,Wales,1,Italy,0,21,22,Millennium Stadium
2022,2022-03-19,Ireland,1,Scotland,0,26,5,Aviva Stadium
2022,2022-03-19,France,3,England,0,25,13,Stade de France
2023,2023-02-04,Wales,0,Ireland,1,10,34,Millennium Stadium
2023,2023-02-04,England,1,Scotland,1,23,29,Twickenham Stadium
2023,2023-02-05,Italy,1,France,1,24,29,Stadio Olimpico
2023,2023-02-11,Ireland,1,France,0,32,19,Aviva Stadium
2023,2023-02-11,Scotland,1,Wales,0,35,7,Murrayfield Stadium
2023,2023-02-12,England,1,Italy,0,31,14,Twickenham Stadium
2023,2023-02-25,Italy,0,Ireland,1,20,34,Stadio Olimpico
2023,2023-02-25,Wales,0,England,0,10,20,Millennium Stadium
2023,2023-02-26,France,1,Scotland,0,32,21,Stade de France
2023,2023-03-11,Italy,0,Wales,1,17,29,Stadio Olimpico
2023,2023-03-11,England,0,France,1,10,53,Twickenham Stadium
2023,2023-03-12,Scotland,0,Ireland,0,7,22,Murrayfield Stadium
2023,2023-03-18,Scotland,1,Italy,0,26,14,Murrayfield Stadium
2023,2023-03-18,France,1,Wales,1,41,28,Stade de France
2023,2023-03-18,Ireland,4,England,0,29,16,Aviva Stadium
2024,2024-02-02,France,0,Ireland,1,17,38,Orange Vélodrome
2024,2024-02-03,Italy,1,England,0,24,27,Stadio Olimpico
2024,2024-02-03,Wales,2,Scotland,0,26,27,Principality Stadium
2024,2024-02-10,Scotland,1,France,0,16,20,Murrayfield Stadium
2024,2024-02-10,England,0,Wales,1,16,14,Twickenham Stadium
2024,2024-02-11,Ireland,1,Italy,0,36,0,Aviva Stadium
2024,2024-02-24,Ireland,1,Wales,0,31,7,Aviva Stadium
2024,2024-02-24,Scotland,0,England,0,30,21,Murrayfield Stadium
2024,2024-02-25,France,0,Italy,0,13,13,Decathlon Arena
2024,2024-03-09,Italy,0,Scotland,2,31,29,Stadio Olimpico
2024,2024-03-09,England,0,Ireland,1,23,22,Twickenham Stadium
2024,2024-03-10,Wales,0,France,1,24,45,Principality Stadium
2024,2024-03-16,Wales,1,Italy,0,21,24,Principality Stadium
2024,2024-03-16,Ireland,0,Scotland,1,17,13,Aviva Stadium
2024,2024-03-16,France,0,England,2,33,31,Groupama Stadium
2025,2025-01-31,France,1,Wales,0,43,0,Stade de France
2025,2025-02-01,Scotland,1,Italy,0,31,19,Murrayfield Stadium
2025,2025-02-01,Ireland,1,England,1,27,22,Aviva Stadium
2025,2025-02-08,Italy,0,Wales,1,22,15,Stadio Olimpico
2025,2025-02-08,England,1,France,1,26,25,Twickenham Stadium
2025,2025-02-09,Scotland,0,Ireland,1,18,32,Murrayfield Stadium
2025,2025-02-22,Wales,0,Ireland,0,18,27,Millennium Stadium
2025,2025-02-22,England,0,Scotland,1,16,15,Twickenham Stadium
2025,2025-02-23,Italy,0,France,1,24,73,Stadio Olimpico
2025,2025-03-08,Ireland,0,France,1,27,42,Aviva Stadium
2025,2025-03-08,Scotland,1,Wales,2,35,29,Murrayfield Stadium
2025,2025-03-09,England,1,Italy,0,47,24,Twickenham Stadium
2025,2025-03-15,Italy,1,Ireland,1,17,22,Stadio Olimpico
2025,2025-03-15,Wales,0,England,1,14,68,Millennium Stadium
2025,2025-03-15,France,1,Scotland,0,35,16,Stade de France
