Year,Date,HomeTeam,HomeBonus,AwayTeam,AwayBonus,HomeScore,AwayScore,Stadium,Winner,PointDiff
2000,2000-02-05,Italy,0,Scotland,0,34,20,Stadio Flaminio,Italy,14
2000,2000-02-05,England,0,Ireland,0,50,18,Twickenham Stadium,England,32
2000,2000-02-05,Wales,0,France,0,3,36,Millennium Stadium,France,33
2000,2000-02-19,Wales,0,Italy,0,47,16,Millennium Stadium,Wales,31
2000,2000-02-19,France,0,England,0,9,15,Stade de France,England,6
2000,2000-02-19,Ireland,0,Scotland,0,44,22,Lansdowne Road,Ireland,22
2000,2000-03-04,Scotland,0,France,0,16,28,Murrayfield Stadium,France,12
2000,2000-03-04,England,0,Wales,0,46,12,Twickenham Stadium,England,34
2000,2000-03-04,Ireland,0,Italy,0,60,13,Lansdowne Road,Ireland,47
2000,2000-03-18,Italy,0,England,0,12,59,Stadio Flaminio,England,47
2000,2000-03-18,Wales,0,Scotland,0,26,18,Millennium Stadium,Wales,8
2000,2000-03-19,France,0,Ireland,0,25,27,Stade de France,Ireland,2
2000,2000-04-01,France,0,Italy,0,42,31,Stade de France,France,11
2000,2000-04-01,Ireland,0,Wales,0,19,23,Lansdowne Road,Wales,4
2000,2000-04-02,Scotland,0,England,0,19,13,Murrayfield Stadium,Scotland,6
2001,2001-02-03,Italy,0,Ireland,0,22,41,Stadio Flaminio,Ireland,19
2001,2001-02-03,Wales,0,England,0,15,44,Millennium Stadium,England,29
2001,2001-02-04,France,0,Scotland,0,16,6,Stade de France,France,10
2001,2001-02-17,Ireland,0,France,0,22,15,Lansdowne Road,Ireland,7
2001,2001-02-17,England,0,Italy,0,80,23,Twickenham Stadium,England,57
2001,2001-02-17,Scotland,0,Wales,0,28,28,Murrayfield Stadium,Draw,0
2001,2001-03-03,Italy,0,France,0,19,30,Stadio Flaminio,France,11
2001,2001-03-03,England,0,Scotland,0,43,3,Twickenham Stadium,England,40
2001,2001-03-17,France,0,Wales,0,35,43,Stade de France,Wales,8
2001,2001-03-17,Scotland,0,Italy,0,23,19,Murrayfield Stadium,Scotland,4
2001,2001-04-07,England,0,France,0,48,19,Twickenham Stadium,England,29
2001,2001-04-08,Italy,0,Wales,0,23,33,Stadio Flaminio,Wales,10
2001,2001-09-22,Scotland,0,Ireland,0,32,10,Murrayfield Stadium,Scotland,22
2001,2001-10-13,Wales,0,Ireland,0,6,36,Millennium Stadium,Ireland,30
2001,2001-10-20,Ireland,0,England,0,20,14,Lansdowne Road,Ireland,6
2002,2002-02-02,France,0,Italy,0,33,12,Stade de France,France,21
2002,2002-02-02,Scotland,0,England,0,3,29,Murrayfield Stadium,England,26
2002,2002-02-03,Ireland,0,Wales,0,54,10,Lansdowne Road,Ireland,44
2002,2002-02-16,Wales,0,France,0,33,37,Millennium Stadium,France,4
2002,2002-02-16,England,0,Ireland,0,45,11,Twickenham Stadium,England,34
2002,2002-02-16,Italy,0,Scotland,0,12,29,Stadio Flaminio,Scotland,17
2002,2002-03-02,France,0,England,0,20,15,Stade de France,France,5
2002,2002-03-02,Wales,0,Italy,0,44,20,Millennium Stadium,Wales,24
2002,2002-03-02,Ireland,0,Scotland,0,43,22,Lansdowne Road,Ireland,21
2002,2002-03-23,Ireland,0,Italy,0,32,17,Lansdowne Road,Ireland,15
2002,2002-03-23,England,0,Wales,0,50,10,Twickenham Stadium,England,40
2002,2002-03-23,Scotland,0,France,0,10,22,Murrayfield Stadium,France,12
2002,2002-04-06,France,0,Ireland,0,44,5,Stade de France,France,39
2002,2002-04-06,Wales,0,Scotland,0,22,27,Millennium Stadium,Scotland,5
2002,2002-04-07,Italy,0,England,0,9,45,Stadio Flaminio,England,36
2003,2003-02-15,Italy,0,Wales,0,30,22,Stadio Flaminio,Italy,8
2003,2003-02-15,England,0,France,0,25,17,Twickenham Stadium,England,8
2003,2003-02-16,Scotland,0,Ireland,0,6,36,Murrayfield Stadium,Ireland,30
2003,2003-02-22,Italy,0,Ireland,0,13,37,Stadio Flaminio,Ireland,24
2003,2003-02-22,Wales,0,England,0,9,26,Millennium Stadium,England,17
2003,2003-02-23,France,0,Scotland,0,38,3,Stade de France,France,35
2003,2003-03-08,Ireland,0,France,0,15,12,Lansdowne Road,Ireland,3
2003,2003-03-08,Scotland,0,Wales,0,30,22,Murrayfield Stadium,Scotland,8
2003,2003-03-09,England,0,Italy,0,40,5,Twickenham Stadium,England,35
2003,2003-03-22,Wales,0,Ireland,0,24,25,Millennium Stadium,Ireland,1
2003,2003-03-22,England,0,Scotland,0,40,9,Twickenham Stadium,England,31
2003,2003-03-23,Italy,0,France,0,27,53,Stadio Flaminio,France,26
2003,2003-03-29,France,0,Wales,0,33,5,Stade de France,France,28
2003,2003-03-29,Scotland,0,Italy,0,33,25,Murrayfield Stadium,Scotland,8
2003,2003-03-30,Ireland,0,England,0,6,42,Lansdowne Road,England,36
2004,2004-02-14,France,0,Ireland,0,35,17,Stade de France,France,18
2004,2004-02-14,Wales,0,Scotland,0,23,10,Millennium Stadium,Wales,13
2004,2004-02-15,Italy,0,England,0,9,50,Stadio Flaminio,England,41
2004,2004-02-21,France,0,Italy,0,25,0,Stade de France,France,25
2004,2004-02-21,Scotland,0,England,0,13,35,Murrayfield Stadium,England,22
2004,2004-02-22,Ireland,0,Wales,0,36,15,Lansdowne Road,Ireland,21
2004,2004-03-06,Italy,0,Scotland,0,20,14,Stadio Flaminio,Italy,6
2004,2004-03-06,England,0,Ireland,0,13,19,Twickenham Stadium,Ireland,6
2004,2004-03-07,Wales,0,France,0,22,29,Millennium Stadium,France,7
2004,2004-03-20,Ireland,0,Italy,0,19,3,Lansdowne Road,Ireland,16
2004,2004-03-20,England,0,Wales,0,31,21,Twickenham Stadium,England,10
2004,2004-03-21,Scotland,0,France,0,0,31,Murrayfield Stadium,France,31
2004,2004-03-27,Wales,0,Italy,0,44,10,Millennium Stadium,Wales,34
2004,2004-03-27,Ireland,0,Scotland,0,37,16,Lansdowne Road,Ireland,21
2004,2004-03-27,France,0,England,0,24,21,Stade de France,France,3
2005,2005-02-05,France,0,Scotland,0,16,9,Stade de France,France,7
2005,2005-02-05,Wales,0,England,0,11,9,Millennium Stadium,Wales,2
2005,2005-02-06,Italy,0,Ireland,0,17,28,Stadio Flaminio,Ireland,11
2005,2005-02-12,Italy,0,Wales,0,8,38,Stadio Flaminio,Wales,30
2005,2005-02-12,Scotland,0,Ireland,0,13,40,Murrayfield Stadium,Ireland,27
2005,2005-02-13,England,0,France,0,17,18,Twickenham Stadium,France,1
2005,2005-02-26,Scotland,0,Italy,0,18,10,Murrayfield Stadium,Scotland,8
2005,2005-02-26,France,0,Wales,0,18,24,Stade de France,Wales,6
2005,2005-02-27,Ireland,0,England,0,19,13,Lansdowne Road,Ireland,6
2005,2005-03-12,Ireland,0,France,0,19,26,Lansdowne Road,France,7
2005,2005-03-12,England,0,Italy,0,39,7,Twickenham Stadium,England,32
2005,2005-03-13,Scotland,0,Wales,0,22,46,Murrayfield Stadium,Wales,24
2005,2005-03-19,Italy,0,France,0,13,56,Stadio Flaminio,France,43
2005,2005-03-19,Wales,0,Ireland,0,32,20,Millennium Stadium,Wales,12
2005,2005-03-19,England,0,Scotland,0,43,22,Twickenham Stadium,England,21
2006,2006-02-04,Ireland,0,Italy,0,26,16,Lansdowne Road,Ireland,10
2006,2006-02-04,England,0,Wales,0,47,13,Twickenham Stadium,England,34
2006,2006-02-05,Scotland,0,France,0,20,16,Murrayfield Stadium,Scotland,4
2006,2006-02-11,France,0,Ireland,0,43,31,Stade de France,France,12
2006,2006-02-11,Italy,0,England,0,16,31,Stadio Flaminio,England,15
2006,2006-02-12,Wales,0,Scotland,0,28,18,Millennium Stadium,Wales,10
2006,2006-02-25,France,0,Italy,0,37,12,Stade de France,France,25
2006,2006-02-25,Scotland,0,England,0,18,12,Murrayfield Stadium,Scotland,6
2006,2006-02-26,Ireland,0,Wales,0,31,5,Lansdowne Road,Ireland,26
2006,2006-03-11,Wales,0,Italy,0,18,18,Millennium Stadium,Draw,0
2006,2006-03-11,Ireland,0,Scotland,0,15,9,Lansdowne Road,Ireland,6
2006,2006-03-12,France,0,England,0,31,6,Stade de France,France,25
2006,2006-03-18,Italy,0,Scotland,0,10,13,Stadio Flaminio,Scotland,3
2006,2006-03-18,Wales,0,France,0,16,21,Millennium Stadium,France,5
2006,2006-03-18,England,0,Ireland,0,24,28,Twickenham Stadium,Ireland,4
2007,2007-02-03,Italy,0,France,0,3,39,Stadio Flaminio,France,36
2007,2007-02-03,England,0,Scotland,0,42,20,Twickenham Stadium,England,22
2007,2007-02-04,Wales,0,Ireland,0,9,19,Millennium Stadium,Ireland,10
2007,2007-02-10,England,0,Italy,0,20,7,Twickenham Stadium,England,13
2007,2007-02-10,Scotland,0,Wales,0,21,9,Murrayfield Stadium,Scotland,12
2007,2007-02-11,Ireland,0,France,0,17,20,Croke Park,France,3
2007,2007-02-24,Scotland,0,Italy,0,17,37,Murrayfield Stadium,Italy,20
2007,2007-02-24,Ireland,0,England,0,43,13,Croke Park,Ireland,30
2007,2007-02-24,France,0,Wales,0,32,21,Stade de France,France,11
2007,2007-03-10,Scotland,0,Ireland,0,18,19,Murrayfield Stadium,Ireland,1
2007,2007-03-10,Italy,0,Wales,0,23,20,Stadio Flaminio,Italy,3
2007,2007-03-11,England,0,France,0,26,18,Twickenham Stadium,England,8
2007,2007-03-17,Italy,0,Ireland,0,24,51,Stadio Flaminio,Ireland,27
2007,2007-03-17,France,0,Scotland,0,46,19,Stade de France,France,27
2007,2007-03-17,Wales,0,England,0,27,18,Millennium Stadium,Wales,9
2008,2008-02-02,Ireland,0,Italy,0,16,11,Croke Park,Ireland,5
2008,2008-02-02,England,0,Wales,0,19,26,Twickenham Stadium,Wales,7
2008,2008-02-03,Scotland,0,France,0,6,27,Murrayfield Stadium,France,21
2008,2008-02-09,Wales,0,Scotland,0,30,15,Millennium Stadium,Wales,15
2008,2008-02-09,France,0,Ireland,0,26,21,Stade de France,France,5
2008,2008-02-10,Italy,0,England,0,19,23,Stadio Flaminio,England,4
2008,2008-02-23,Wales,0,Italy,0,47,8,Millennium Stadium,Wales,39
2008,2008-02-23,Ireland,0,Scotland,0,34,13,Croke Park,Ireland,21
2008,2008-02-23,France,0,England,0,13,24,Stade de France,England,11
2008,2008-03-08,Ireland,0,Wales,0,12,16,Croke Park,Wales,4
2008,2008-03-08,Scotland,0,England,0,15,9,Murrayfield Stadium,Scotland,6
2008,2008-03-09,France,0,Italy,0,25,13,Stade de France,France,12
2008,2008-03-15,Italy,0,Scotland,0,23,20,Stadio Flaminio,Italy,3
2008,2008-03-15,England,0,Ireland,0,33,10,Twickenham Stadium,England,23
2008,2008-03-15,Wales,0,France,0,29,12,Millennium Stadium,Wales,17
2009,2009-02-07,England,0,Italy,0,36,11,Twickenham Stadium,England,25
2009,2009-02-07,Ireland,0,France,0,30,21,Croke Park,Ireland,9
2009,2009-02-08,Scotland,0,Wales,0,13,26,Murrayfield Stadium,Wales,13
2009,2009-02-14,France,0,Scotland,0,22,13,Stade de France,France,9
2009,2009-02-14,Wales,0,England,0,23,15,Millennium Stadium,Wales,8
2009,2009-02-15,Italy,0,Ireland,0,9,38,Stadio Flaminio,Ireland,29
2009,2009-02-27,France,0,Wales,0,21,16,Stade de France,France,5
2009,2009-02-28,Scotland,0,Italy,0,26,6,Murrayfield Stadium,Scotland,20
2009,2009-02-28,Ireland,0,England,0,14,13,Croke Park,Ireland,1
2009,2009-03-14,Italy,0,Wales,0,15,20,Stadio Flaminio,Wales,5
2009,2009-03-14,Scotland,0,Ireland,0,15,22,Murrayfield Stadium,Ireland,7
2009,2009-03-15,England,0,France,0,34,10,Twickenham Stadium,England,24
2009,2009-03-21,Italy,0,France,0,8,50,Stadio Flaminio,France,42
2009,2009-03-21,England,0,Scotland,0,26,12,Twickenham Stadium,England,14
2009,2009-03-21,Wales,0,Ireland,0,15,17,Millennium Stadium,Ireland,2
2010,2010-02-06,Ireland,0,Italy,0,29,11,Croke Park,Ireland,18
2010,2010-02-06,England,0,Wales,0,30,17,Twickenham Stadium,England,13
2010,2010-02-07,Scotland,0,France,0,9,18,Murrayfield Stadium,France,9
2010,2010-02-13,Wales,0,Scotland,0,31,24,Millennium Stadium,Wales,7
2010,2010-02-13,France,0,Ireland,0,33,10,Stade de France,France,23
2010,2010-02-14,Italy,0,England,0,12,17,Stadio Flaminio,England,5
2010,2010-02-26,Wales,0,France,0,20,26,Millennium Stadium,France,6
2010,2010-02-27,Italy,0,Scotland,0,16,12,Stadio Flaminio,Italy,4
2010,2010-02-27,England,0,Ireland,0,16,20,Twickenham Stadium,Ireland,4
2010,2010-03-13,Ireland,0,Wales,0,27,12,Croke Park,Ireland,15
2010,2010-03-13,Scotland,0,England,0,15,15,Murrayfield Stadium,Draw,0
2010,2010-03-14,France,0,Italy,0,46,20,Stade de France,France,26
2010,2010-03-20,Wales,0,Italy,0,33,10,Millennium Stadium,Wales,23
2010,2010-03-20,Ireland,0,Scotland,0,20,23,Croke Park,Scotland,3
2010,2010-03-20,France,0,England,0,12,10,Stade de France,France,2
2011,2011-02-04,Wales,0,England,0,19,26,Millennium Stadium,England,7
2011,2011-02-05,Italy,0,Ireland,0,11,13,Stadio Flaminio,Ireland,2
2011,2011-02-05,France,0,Scotland,0,34,21,Stade de France,France,13
2011,2011-02-12,England,0,Italy,0,59,13,Twickenham Stadium,England,46
2011,2011-02-12,Scotland,0,Wales,0,6,24,Murrayfield Stadium,Wales,18
2011,2011-02-13,Ireland,0,France,0,22,25,Aviva Stadium,France,3
2011,2011-02-26,Italy,0,Wales,0,16,24,Stadio Flaminio,Wales,8
2011,2011-02-26,England,0,France,0,17,9,Twickenham Stadium,England,8
2011,2011-02-27,Scotland,0,Ireland,0,18,21,Murrayfield Stadium,Ireland,3
2011,2011-03-12,Italy,0,France,0,22,21,Stadio Flaminio,Italy,1
2011,2011-03-12,Wales,0,Ireland,0,19,13,Millennium Stadium,Wales,6
2011,2011-03-13,England,0,Scotland,0,22,16,Twickenham Stadium,England,6
2011,2011-03-19,Scotland,0,Italy,0,21,8,Murrayfield Stadium,Scotland,13
2011,2011-03-19,Ireland,0,England,0,24,8,Aviva Stadium,Ireland,16
2011,2011-03-19,France,0,Wales,0,28,9,Stade de France,France,19
2012,2012-02-04,France,0,Italy,0,30,12,Stade de France,France,18
2012,2012-02-04,Scotland,0,England,0,6,13,Murrayfield Stadium,England,7
2012,2012-02-05,Ireland,0,Wales,0,21,23,Aviva Stadium,Wales,2
2012,2012-02-11,Italy,0,England,0,15,19,Stadio Olimpico,England,4
2012,2012-02-12,Wales,0,Scotland,0,27,13,Millennium Stadium,Wales,14
2012,2012-02-25,Ireland,0,Italy,0,42,10,Aviva Stadium,Ireland,32
2012,2012-02-25,England,0,Wales,0,12,19,Twickenham Stadium,Wales,7
2012,2012-02-26,Scotland,0,France,0,17,23,Murrayfield Stadium,France,6
2012,2012-03-04,France,0,Ireland,0,17,17,Stade de France,Draw,0
2012,2012-03-10,Wales,0,Italy,0,24,3,Millennium Stadium,Wales,21
2012,2012-03-10,Ireland,0,Scotland,0,32,14,Aviva Stadium,Ireland,18
2012,2012-03-11,France,0,England,0,22,24,Stade de France,England,2
2012,2012-03-17,Italy,0,Scotland,0,13,6,Stadio Olimpico,Italy,7
2012,2012-03-17,Wales,0,France,0,16,9,Millennium Stadium,Wales,7
