Year,Date,HomeTeam,HomeBonus,AwayTeam,AwayBonus,HomeScore,AwayScore,Stadium,Winner,PointDiff
2012,2012-03-17,England,0,Ireland,0,30,9,Twickenham Stadium,England,21
2013,2013-02-02,Wales,0,Ireland,0,22,30,Millennium Stadium,Ireland,8
2013,2013-02-02,England,0,Scotland,0,38,18,Twickenham Stadium,England,20
2013,2013-02-03,Italy,0,France,0,23,18,Stadio Olimpico,Italy,5
2013,2013-02-09,Scotland,0,Italy,0,34,10,Murrayfield Stadium,Scotland,24
2013,2013-02-09,France,0,Wales,0,6,16,Stade de France,Wales,10
2013,2013-02-10,Ireland,0,England,0,6,12,Aviva Stadium,England,6
2013,2013-02-23,Italy,0,Wales,0,9,26,Stadio Olimpico,Wales,17
2013,2013-02-23,England,0,France,0,23,13,Twickenham Stadium,England,10
2013,2013-02-24,Scotland,0,Ireland,0,12,8,Murrayfield Stadium,Scotland,4
2013,2013-03-09,Scotland,0,Wales,0,18,28,Murrayfield Stadium,Wales,10
2013,2013-03-09,Ireland,0,France,0,13,13,Aviva Stadium,Draw,0
2013,2013-03-10,England,0,Italy,0,18,11,Twickenham Stadium,England,7
2013,2013-03-16,Italy,0,Ireland,0,22,15,Stadio Olimpico,Italy,7
2013,2013-03-16,Wales,0,England,0,30,3,Millennium Stadium,Wales,27
2013,2013-03-16,France,0,Scotland,0,23,16,Stade de France,France,7
2014,2014-02-01,Wales,0,Italy,0,23,15,Millennium Stadium,Wales,8
2014,2014-02-01,France,0,England,0,26,24,Stade de France,France,2
2014,2014-02-02,Ireland,0,Scotland,0,28,6,Aviva Stadium,Ireland,22
2014,2014-02-08,Ireland,0,Wales,0,26,3,Aviva Stadium,Ireland,23
2014,2014-02-08,Scotland,0,England,0,0,20,Murrayfield Stadium,England,20
2014,2014-02-09,France,0,Italy,0,30,10,Stade de France,France,20
2014,2014-02-21,Wales,0,France,0,27,6,Millennium Stadium,Wales,21
2014,2014-02-22,Italy,0,Scotland,0,20,21,Stadio Olimpico,Scotland,1
2014,2014-02-22,England,0,Ireland,0,13,10,Twickenham Stadium,England,3
2014,2014-03-08,Ireland,0,Italy,0,46,7,Aviva Stadium,Ireland,39
2014,2014-03-08,Scotland,0,France,0,17,19,Murrayfield Stadium,France,2
2014,2014-03-09,England,0,Wales,0,29,18,Twickenham Stadium,England,11
2014,2014-03-15,Italy,0,England,0,11,52,Stadio Olimpico,England,41
2014,2014-03-15,Wales,0,Scotland,0,51,3,Millennium Stadium,Wales,48
2014,2014-03-15,France,0,Ireland,0,20,22,Stade de France,Ireland,2
2015,2015-02-06,Wales,0,England,0,16,21,Millennium Stadium,England,5
2015,2015-02-07,Italy,0,Ireland,0,3,26,Stadio Olimpico,Ireland,23
2015,2015-02-07,France,0,Scotland,0,15,8,Stade de France,France,7
2015,2015-02-14,England,0,Italy,0,47,17,Twickenham Stadium,England,30
2015,2015-02-14,Ireland,0,France,0,18,11,Aviva Stadium,Ireland,7
2015,2015-02-15,Scotland,0,Wales,0,23,26,Murrayfield Stadium,Wales,3
2015,2015-02-28,Scotland,0,Italy,0,19,22,Murrayfield Stadium,Italy,3
2015,2015-02-28,France,0,Wales,0,13,20,Stade de France,Wales,7
2015,2015-03-01,Ireland,0,England,0,19,9,Aviva Stadium,Ireland,10
2015,2015-03-14,Wales,0,Ireland,0,23,16,Millennium Stadium,Wales,7
2015,2015-03-14,England,0,Scotland,0,25,13,Twickenham Stadium,England,12
2015,2015-03-15,Italy,0,France,0,0,29,Stadio Olimpico,France,29
2015,2015-03-21,Italy,0,Wales,0,20,61,Stadio Olimpico,Wales,41
2015,2015-03-21,Scotland,0,Ireland,0,10,40,Murrayfield Stadium,Ireland,30
2015,2015-03-21,England,0,France,0,55,35,Twickenham Stadium,England,20
2016,2016-02-06,France,0,Italy,0,23,21,Stade de France,France,2
2016,2016-02-06,Scotland,0,England,0,9,15,Murrayfield Stadium,England,6
2016,2016-02-07,Ireland,0,Wales,0,16,16,Aviva Stadium,Draw,0
2016,2016-02-13,France,0,Ireland,0,10,9,Stade de France,France,1
2016,2016-02-13,Wales,0,Scotland,0,27,23,Millennium Stadium,Wales,4
2016,2016-02-14,Italy,0,England,0,9,40,Stadio Olimpico,England,31
2016,2016-02-26,Wales,0,France,0,19,10,Millennium Stadium,Wales,9
2016,2016-02-27,Italy,0,Scotland,0,20,36,Stadio Olimpico,Scotland,16
2016,2016-02-27,England,0,Ireland,0,21,10,Twickenham Stadium,England,11
2016,2016-03-12,Ireland,0,Italy,0,58,15,Aviva Stadium,Ireland,43
2016,2016-03-12,England,0,Wales,0,25,21,Twickenham Stadium,England,4
2016,2016-03-13,Scotland,0,France,0,29,18,Murrayfield Stadium,Scotland,11
2016,2016-03-19,Wales,0,Italy,0,67,14,Millennium Stadium,Wales,53
2016,2016-03-19,Ireland,0,Scotland,0,35,25,Aviva Stadium,Ireland,10
2016,2016-03-19,France,0,England,0,21,31,Stade de France,England,10
2017,2017-02-04,Scotland,0,Ireland,1,27,22,Murrayfield Stadium,Scotland,5
2017,2017-02-04,England,0,France,1,19,16,Twickenham Stadium,England,3
2017,2017-02-05,Italy,0,Wales,0,7,33,Stadio Olimpico,Wales,26
2017,2017-02-11,Italy,0,Ireland,1,10,63,Stadio Olimpico,Ireland,53
2017,2017-02-11,Wales,1,England,0,16,21,Millennium Stadium,England,5
2017,2017-02-12,France,0,Scotland,1,22,16,Stade de France,France,6
2017,2017-02-25,Scotland,0,Wales,0,29,13,Murrayfield Stadium,Scotland,16
2017,2017-02-25,Ireland,0,France,0,19,9,Aviva Stadium,Ireland,10
2017,2017-02-26,England,1,Italy,0,36,15,Twickenham Stadium,England,21
2017,2017-03-10,Wales,0,Ireland,0,22,9,Millennium Stadium,Wales,13
2017,2017-03-11,Italy,0,France,1,18,40,Stadio Olimpico,France,22
2017,2017-03-11,England,1,Scotland,0,61,21,Twickenham Stadium,England,40
2017,2017-03-18,Scotland,1,Italy,0,29,0,Murrayfield Stadium,Scotland,29
2017,2017-03-18,France,0,Wales,1,20,18,Stade de France,France,2
2017,2017-03-18,Ireland,0,England,1,13,9,Aviva Stadium,Ireland,4
2018,2018-02-03,Wales,1,Scotland,0,34,7,Millennium Stadium,Wales,27
2018,2018-02-03,France,1,Ireland,0,13,15,Stade de France,Ireland,2
2018,2018-02-04,Italy,0,England,1,15,46,Stadio Olimpico,England,31
2018,2018-02-10,Ireland,1,Italy,0,56,19,Aviva Stadium,Ireland,37
2018,2018-02-10,England,0,Wales,1,12,6,Twickenham Stadium,England,6
2018,2018-02-11,Scotland,0,France,1,32,26,Murrayfield Stadium,Scotland,6
2018,2018-02-23,France,0,Italy,0,34,17,Stade Vélodrome,France,17
2018,2018-02-24,Ireland,1,Wales,0,37,27,Aviva Stadium,Ireland,10
2018,2018-02-24,Scotland,0,England,0,25,13,Murrayfield Stadium,Scotland,12
2018,2018-03-10,Ireland,1,Scotland,0,28,8,Aviva Stadium,Ireland,20
2018,2018-03-10,France,0,England,1,22,16,Stade de France,France,6
2018,2018-03-11,Wales,1,Italy,0,38,14,Millennium Stadium,Wales,24
2018,2018-03-17,Italy,1,Scotland,1,27,29,Stadio Olimpico,Scotland,2
2018,2018-03-17,England,0,Ireland,3,15,24,Twickenham Stadium,Ireland,9
2018,2018-03-17,Wales,0,France,1,14,13,Millennium Stadium,Wales,1
2019,2019-02-01,France,1,Wales,0,19,24,Stade de France,Wales,5
2019,2019-02-02,Scotland,1,Italy,0,33,20,Murrayfield Stadium,Scotland,13
2019,2019-02-02,Ireland,0,England,1,20,32,Aviva Stadium,England,12
2019,2019-02-09,Scotland,0,Ireland,0,13,22,Murrayfield Stadium,Ireland,9
2019,2019-02-09,Italy,0,Wales,0,15,26,Stadio Olimpico,Wales,11
2019,2019-02-10,England,1,France,0,44,8,Twickenham Stadium,England,36
2019,2019-02-23,France,1,Scotland,0,27,10,Stade de France,France,17
2019,2019-02-23,Wales,0,England,0,21,13,Millennium Stadium,Wales,8
2019,2019-02-24,Italy,0,Ireland,1,16,26,Stadio Olimpico,Ireland,10
2019,2019-03-09,Scotland,1,Wales,0,11,18,Murrayfield Stadium,Wales,7
2019,2019-03-09,England,1,Italy,0,57,14,Twickenham Stadium,England,43
2019,2019-03-10,Ireland,1,France,0,26,14,Aviva Stadium,Ireland,12
2019,2019-03-16,Italy,0,France,0,14,25,Stadio Olimpico,France,11
2019,2019-03-16,Wales,0,Ireland,0,25,7,Millennium Stadium,Wales,18
2019,2019-03-16,England,1,Scotland,1,38,38,Twickenham Stadium,Draw,0
2020,2020-02-01,Wales,1,Italy,0,42,0,Millennium Stadium,Wales,42
2020,2020-02-01,Ireland,0,Scotland,1,19,12,Aviva Stadium,Ireland,7
2020,2020-02-02,France,0,England,1,24,17,Stade de France,France,7
2020,2020-02-08,Ireland,1,Wales,0,24,14,Aviva Stadium,Ireland,10
2020,2020-02-08,Scotland,1,England,0,6,13,Murrayfield Stadium,England,7
2020,2020-02-09,France,1,Italy,0,35,22,Stade de France,France,13
2020,2020-02-22,Italy,0,Scotland,0,0,17,Stadio Olimpico,Scotland,17
2020,2020-02-22,Wales,1,France,0,23,27,Millennium Stadium,France,4
2020,2020-02-23,England,0,Ireland,0,24,12,Twickenham Stadium,England,12
2020,2020-03-07,England,0,Wales,1,33,30,Twickenham Stadium,England,3
2020,2020-03-08,Scotland,0,France,0,28,17,Murrayfield Stadium,Scotland,11
2020,2020-10-24,Ireland,1,Italy,0,50,17,Aviva Stadium,Ireland,33
2020,2020-10-31,Wales,1,Scotland,0,10,14,Parc y Scarlets,Scotland,4
2020,2020-10-31,Italy,0,England,1,5,34,Stadio Olimpico,England,29
2020,2020-10-31,France,1,Ireland,0,35,27,Stade de France,France,8
2021,2021-02-06,Italy,0,France,1,10,50,Stadio Olimpico,France,40
2021,2021-02-06,England,1,Scotland,0,6,11,Twickenham Stadium,Scotland,5
2021,2021-02-07,Wales,0,Ireland,1,21,16,Millennium Stadium,Wales,5
2021,2021-02-13,England,1,Italy,0,41,18,Twickenham Stadium,England,23
2021,2021-02-13,Scotland,1,Wales,1,24,25,Murrayfield Stadium,Wales,1
2021,2021-02-14,Ireland,1,France,0,13,15,Aviva Stadium,France,2
2021,2021-02-27,Italy,0,Ireland,1,10,48,Stadio Olimpico,Ireland,38
2021,2021-02-27,Wales,1,England,0,40,24,Millennium Stadium,Wales,16
2021,2021-03-13,Italy,0,Wales,1,7,48,Stadio Olimpico,Wales,41
2021,2021-03-13,England,0,France,1,23,20,Twickenham Stadium,England,3
2021,2021-03-14,Scotland,1,Ireland,0,24,27,Murrayfield Stadium,Ireland,3
2021,2021-03-20,Scotland,1,Italy,0,52,10,Murrayfield Stadium,Scotland,42
2021,2021-03-20,Ireland,0,England,0,32,18,Aviva Stadium,Ireland,14
2021,2021-03-20,France,1,Wales,1,32,30,Stade de France,France,2
2021,2021-03-26,France,1,Scotland,0,23,27,Stade de France,Scotland,4
2022,2022-02-05,Ireland,1,Wales,0,29,7,Aviva Stadium,Ireland,22
2022,2022-02-05,Scotland,0,England,1,20,17,Murrayfield Stadium,Scotland,3
2022,2022-02-06,France,1,Italy,0,37,10,Stade de France,France,27
2022,2022-02-12,Wales,0,Scotland,1,20,17,Millennium Stadium,Wales,3
2022,2022-02-12,France,0,Ireland,1,30,24,Stade de France,France,6
2022,2022-02-13,Italy,0,England,1,0,33,Stadio Olimpico,England,33
2022,2022-02-26,Scotland,0,France,1,17,36,Murrayfield Stadium,France,19
2022,2022-02-26,England,0,Wales,1,23,19,Twickenham Stadium,England,4
2022,2022-02-27,Ireland,1,Italy,0,57,6,Aviva Stadium,Ireland,51
2022,2022-03-11,Wales,1,France,0,9,13,Millennium Stadium,France,4
2022,2022-03-12,Italy,0,Scotland,1,22,33,Stadio Olimpico,Scotland,11
2022,2022-03-12,England,0,Ireland,1,15,32,Twickenham Stadium,Ireland,17
2022,2022-03-19,Wales,1,Italy,0,21,22,Millennium Stadium,Italy,1
2022,2022-03-19,Ireland,1,Scotland,0,26,5,Aviva Stadium,Ireland,21
2022,2022-03-19,France,3,England,0,25,13,Stade de France,France,12
2023,2023-02-04,Wales,0,Ireland,1,10,34,Millennium Stadium,Ireland,24
2023,2023-02-04,England,1,Scotland,1,23,29,Twickenham Stadium,Scotland,6
2023,2023-02-05,Italy,1,France,1,24,29,Stadio Olimpico,France,5
2023,2023-02-11,Ireland,1,France,0,32,19,Aviva Stadium,Ireland,13
2023,2023-02-11,Scotland,1,Wales,0,35,7,Murrayfield Stadium,Scotland,28
2023,2023-02-12,England,1,Italy,0,31,14,Twickenham Stadium,England,17
2023,2023-02-25,Italy,0,Ireland,1,20,34,Stadio Olimpico,Ireland,14
2023,2023-02-25,Wales,0,England,0,10,20,Millennium Stadium,England,10
2023,2023-02-26,France,1,Scotland,0,32,21,Stade de France,France,11
2023,2023-03-11,Italy,0,Wales,1,17,29,Stadio Olimpico,Wales,12
2023,2023-03-11,England,0,France,1,10,53,Twickenham Stadium,France,43
2023,2023-03-12,Scotland,0,Ireland,0,7,22,Murrayfield Stadium,Ireland,15
2023,2023-03-18,Scotland,1,Italy,0,26,14,Murrayfield Stadium,Scotland,12
2023,2023-03-18,France,1,Wales,1,41,28,Stade de France,France,13
2023,2023-03-18,Ireland,4,England,0,29,16,Aviva Stadium,Ireland,13
2024,2024-02-02,France,0,Ireland,1,17,38,Orange Vélodrome,Ireland,21
2024,2024-02-03,Italy,1,England,0,24,27,Stadio Olimpico,England,3
2024,2024-02-03,Wales,2,Scotland,0,26,27,Principality Stadium,Scotland,1
2024,2024-02-10,Scotland,1,France,0,16,20,Murrayfield Stadium,France,4
2024,2024-02-10,England,0,Wales,1,16,14,Twickenham Stadium,England,2
2024,2024-02-11,Ireland,1,Italy,0,36,0,Aviva Stadium,Ireland,36
2024,2024-02-24,Ireland,1,Wales,0,31,7,Aviva Stadium,Ireland,24
2024,2024-02-24,Scotland,0,England,0,30,21,Murrayfield Stadium,Scotland,9
2024,2024-02-25,France,0,Italy,0,13,13,Decathlon Arena,Draw,0
2024,2024-03-09,Italy,0,Scotland,2,31,29,Stadio Olimpico,Italy,2
2024,2024-03-09,England,0,Ireland,1,23,22,Twickenham Stadium,England,1
2024,2024-03-10,Wales,0,France,1,24,45,Principality Stadium,France,21
2024,2024-03-16,Wales,1,Italy,0,21,24,Principality Stadium,Italy,3
2024,2024-03-16,Ireland,0,Scotland,1,17,13,Aviva Stadium,Ireland,4
2024,2024-03-16,France,0,England,2,33,31,Groupama Stadium,France,2
2025,2025-01-31,France,1,Wales,0,43,0,Stade de France,France,43
2025,2025-02-01,Scotland,1,Italy,0,31,19,Murrayfield Stadium,Scotland,12
2025,2025-02-01,Ireland,1,England,1,27,22,Aviva Stadium,Ireland,5
2025,2025-02-08,Italy,0,Wales,1,22,15,Stadio Olimpico,Italy,7
2025,2025-02-08,England,1,France,1,26,25,Twickenham Stadium,England,1
2025,2025-02-09,Scotland,0,Ireland,1,18,32,Murrayfield Stadium,Ireland,14
2025,2025-02-22,Wales,0,Ireland,0,18,27,Millennium Stadium,Ireland,9
2025,2025-02-22,England,0,Scotland,1,16,15,Twickenham Stadium,England,1
2025,2025-02-23,Italy,0,France,1,24,73,Stadio Olimpico,France,49
2025,2025-03-08,Ireland,0,France,1,27,42,Aviva Stadium,France,15
2025,2025-03-08,Scotland,1,Wales,2,35,29,Murrayfield Stadium,Scotland,6
2025,2025-03-09,England,1,Italy,0,47,24,Twickenham Stadium,England,23
2025,2025-03-15,Italy,1,Ireland,1,17,22,Stadio Olimpico,Ireland,5
2025,2025-03-15,Wales,0,England,1,14,68,Millennium Stadium,England,54
2025,2025-03-15,France,1,Scotland,0,35,16,Stade de France,France,19
